#  site  atom  site  atom  shell  is    irs        x             y             z             r          Joj(mRy)       Joj(meV)
    2     Co    2     Co    12     8   179     14.494205     14.494205     14.494205     25.104700      0.0006617      0.0090023
    2     Co    2     Co    13     1   180    -21.741308    -14.494205      0.000000     26.129800      0.0057220      0.0778523
    2     Co    2     Co    13     2   181    -21.741308      0.000000    -14.494205     26.129800      0.0057220      0.0778519
    2     Co    2     Co    13     3   182    -21.741308      0.000000     14.494205     26.129800      0.0057222      0.0778542
    2     Co    2     Co    13     4   183    -21.741308     14.494205      0.000000     26.129800      0.0057222      0.0778546
    2     Co    2     Co    13     5   184    -14.494205    -21.741308      0.000000     26.129800      0.0057220      0.0778524
    2     Co    2     Co    13     6   185    -14.494205      0.000000    -21.741308     26.129800      0.0057220      0.0778519
    2     Co    2     Co    13     7   186    -14.494205      0.000000     21.741308     26.129800      0.0057219      0.0778511
    2     Co    2     Co    13     8   187    -14.494205     21.741308      0.000000     26.129800      0.0057220      0.0778516
    2     Co    2     Co    13     9   188      0.000000    -21.741308    -14.494205     26.129800      0.0057220      0.0778523
    2     Co    2     Co    13    10   189      0.000000    -21.741308     14.494205     26.129800      0.0057222      0.0778546
    2     Co    2     Co    13    11   190      0.000000    -14.494205    -21.741308     26.129800      0.0057220      0.0778523
    2     Co    2     Co    13    12   191      0.000000    -14.494205     21.741308     26.129800      0.0057220      0.0778515
    2     Co    2     Co    13    13   192      0.000000     14.494205    -21.741308     26.129800      0.0057222      0.0778546
    2     Co    2     Co    13    14   193      0.000000     14.494205     21.741308     26.129800      0.0057221      0.0778538
    2     Co    2     Co    13    15   194      0.000000     21.741308    -14.494205     26.129800      0.0057220      0.0778515
    2     Co    2     Co    13    16   195      0.000000     21.741308     14.494205     26.129800      0.0057222      0.0778538
    2     Co    2     Co    13    17   196     14.494205    -21.741308      0.000000     26.129800      0.0057222      0.0778546
    2     Co    2     Co    13    18   197     14.494205      0.000000    -21.741308     26.129800      0.0057222      0.0778542
    2     Co    2     Co    13    19   198     14.494205      0.000000     21.741308     26.129800      0.0057221      0.0778534
    2     Co    2     Co    13    20   199     14.494205     21.741308      0.000000     26.129800      0.0057222      0.0778539
    2     Co    2     Co    13    21   200     21.741308    -14.494205      0.000000     26.129800      0.0057220      0.0778515
    2     Co    2     Co    13    22   201     21.741308      0.000000    -14.494205     26.129800      0.0057219      0.0778511
    2     Co    2     Co    13    23   202     21.741308      0.000000     14.494205     26.129800      0.0057221      0.0778534
